Honour,Years
Football League First Division/Premier League,"1955, 2005, 2006, 2010, 2015, 2017"
Football League Second Division,"1984, 1989"
FA Cup,"1970, 1997, 2000, 2007, 2009, 2010, 2012, 2018"
League Cup,"1965, 1998, 2005, 2007, 2015"
Full Members' Cup,"1986, 1990"
FA Community Shield (FA Charity Shield before 2002),"1955, 2000, 2005, 2009"
UEFA Champions League (European Cup before 1992),"2012, 2021"
UEFA Europa League (UEFA Cup before 2009),"2013, 2019"
UEFA Cup Winners' Cup (European Cup Winners' Cup before 1994),"1971, 1998"
UEFA Super Cup (European Super Cup before 1995),"1998, 2021"
FIFA Club World Cup,2021