Year,Winner,Team,Score,Result,Stadium,Competition
2007,Michael Essien,Arsenal,1–1,1–1,Stamford Bridge,Premier League
2008,Juliano Belletti,Tottenham Hotspur,1–0,2–0,Stamford Bridge,Premier League
2009,Michael Essien ,Barcelona,1–0,1–1,Stamford Bridge,UEFA Champions League
2010,Ashley Cole,Sunderland,3–0,7–2,Stamford Bridge,Premier League
2011,Ramires,Manchester City,2–0,2–0,Stamford Bridge,Premier League
2012,Ramires ,Barcelona,2–1,2–2,Camp Nou,UEFA Champions League
2013,Oscar,Juventus,2–0,2–2,Stamford Bridge,UEFA Champions League
2014,Lewis Baker,Arsenal Under 21,1–1,1–2,Emirates Stadium,Barclays Under 21 League
2015,Oscar ,Queens Park Rangers,1–0,2–1,Stamford Bridge,Premier League
2016,Eden Hazard,Tottenham Hotspur,2–2,2–2,Stamford Bridge,Premier League
2017,Eden Hazard ,Arsenal,2–0,3–1,Stamford Bridge,Premier League
2018,Willian,Brighton & Hove Albion,0–2,0–4,Falmer Stadium,Premier League
2019,Eden Hazard,Liverpool,1–2,1–2,Anfield,EFL Cup
2020,Fikayo Tomori,Wolverhampton Wanderers,0–1,2–5,Molineux Stadium,Premier League
2021,Olivier Giroud,Atlético Madrid,0–1,0-1,Arena Națională,UEFA Champions League